title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
Cần tiền làm ăn bán căn 3pn bcons garden - cách vincom dĩ an chỉ 5 phút xe máy,"Bcons Garden, Phường Dĩ An, Thị Xã Dĩ An, Bình Dương",69,2029.9999999999998,3,2,11,Tây Nam,12,12,1,3957676
Bán chung cư hồ tùng mậu 600-1ty/căn 1-2pn ở ngay mới,"Quận Bắc Từ Liêm, Hà Nội",36,800,1,1,,,,,,3865067
Bán chung cư xuân thủy- doãn kế thiện 800-1ty/căn 1-2pn,"Quận Cầu Giấy, Hà Nội",46,1100.0,2,1,,,,,,3865068
"Mở bán chung cư mini văn chương, hàng bột, đống đa 860tr","Tôn Đức Thắng, Quận Đống Đa, Hà Nội",32,860,,,,,,,,3185839
Bán cc khâm thiên- tôn đức thắng hơn 700tr/căn 1-2pn ở ngay 32-47m thoáng sáng,"Khâm Thiên, Quận Đống Đa, Hà Nội",47,1050.0,2,1,,,,,,3185890
Bán chung cư xã đàn- lê duẩn- hồ ba mẫu 550tr-700tr/căn 12pn,"Quận Đống Đa, Hà Nội",32,700,1,1,,,,,,3673515
"Bán chung cư chùa bộc 940tr-1,3 tỷ căn 30-68m","Quận Đống Đa, Hà Nội",46,1050.0,1,1,,,2,,,3347354
Bán chung cư vân hồ 3-công viên thống nhất 900tr/căn 32m,"Đại Cồ Việt , Quận Hai Bà Trưng, Hà Nội",48,900,2,1,,,,,,3584367
"Mở bán chung cư mini văn chương, hàng bột, đống đa 860tr","Tôn Đức Thắng, Quận Đống Đa, Hà Nội",32,860,,,,,,,,3185839
Bán cc khâm thiên- tôn đức thắng hơn 700tr/căn 1-2pn ở ngay 32-47m thoáng sáng,"Khâm Thiên, Quận Đống Đa, Hà Nội",47,1050.0,2,1,,,,,,3185890
Bán chung cư hồ tùng mậu 600-1ty/căn 1-2pn ở ngay mới,"Quận Bắc Từ Liêm, Hà Nội",36,800,1,1,,,,,,3865067
Bán chung cư xuân thủy- doãn kế thiện 800-1ty/căn 1-2pn,"Quận Cầu Giấy, Hà Nội",46,1100.0,2,1,,,,,,3865068
"Ở ngay, ccmn phạm ngọc thạch 850tr/căn 32m 1pn đẹp mới","Quận Đống Đa, Hà Nội",32,850,1,1,,,,,,3640721
Bán chung cư đoàn thị điểm- quốc tử giám 500-1 tỷ/căn 1-2pn mới,"Quận Đống Đa, Hà Nội",25,500,1,1,,,,,,3937751
"Bán chung cư tôn đức thắng 30-50m giá 800-1,3 tỷ/căn ở ngay","Tôn Đức Thắng, Quận Đống Đa, Hà Nội",50,800,1,1,,,,,,3460472
"Bán chung cư cát linh tôn đức thắng 1,15 tỷ- 46m ở ngay","Cát Linh, Quận Đống Đa, Hà Nội",46,1150.0,2,1,,,,,,3460513
Bán chung cư hào nam 780-1 tỷ/ căn 32-50m ở ngay full đồ,"Hào Nam, Quận Đống Đa, Hà Nội",46,1000.0,2,1,,,,,,3460665
Bán chung cư đê la thành tôn đức thắng hơn 800tr/căn 1-2pn,"La Thành, Quận Đống Đa, Hà Nội",32,800,,,,,,,,3461207
Căn hộ 32m 1pn giá hơn 700tr/căn đại la hai bà trưng,"Quận Hai Bà Trưng, Hà Nội",32,700,1,1,,,,,,3470756
Bán chung cư tôn đức thắng 800tr 35-48m ở ngay full đồ,"Quận Đống Đa, Hà Nội",35,800,1,1,,,,,,3480596
Bán chung cư cát linh hơn 800tr/căn 1-2pn 32-46m ở ngay-ck3%,"Quận Đống Đa, Hà Nội",32,790,2,1,,,,,,3459988
"Bán chung cư tôn đức thắng 1,3 tỷ/ căn 46m ở ngay full đồ","Quận Đống Đa, Hà Nội",48,1300.0,2,1,,,,,,3460000
"Bán gấp căn hộ đường đinh tiên hoàng, q1, 160m2 , chỉ 5,95 tỷ","ĐINH TIÊN HOÀNG, Phường Đa Kao, Quận 1, TP HCM",160,5950.0,2,3,2,,30,4,,3947965
Trực tiếp cdt mở bán cc tôn đức thắng- quốc tử giám 820tr- 33.5m,"Quận Đống Đa, Hà Nội",33.5,820,1,1,,,,,,3717701
Chính chủ bán chung cư kim mã- giang văn minh 890-1 tỷ/căn,"Kim Mã, Quận Ba Đình, Hà Nội",42,890,1,1,,,,,,3505058
Mở bán chung cư kim mã ở ngay 840tr/căn 40-52m thoáng mát,"Quận Ba Đình, Hà Nội",42,840,1,1,,,,,,3505096
Bán gấp chung cư võ chí công- ngoại giao đoàn 600-1ty/căn 1-2pn,"Quận Bắc Từ Liêm, Hà Nội",48,650,2,1,,,,,,3851071
Bán chung cư xã đàn- hồ ba mẫu 590tr/căn 1-2pn ở ngay thoáng,"Quận Đống Đa, Hà Nội",28,590,1,1,,,,,,3930028
Trực tiếp chung cư trần khát chân- bà triệu 800-1ty/căn,"Quận Hai Bà Trưng, Hà Nội",45,850,1,1,,,,,,3829105
Bán chung cư tân mai 600-700tr/căn 1-2pn ở ngay full đồ mới,"Quận Hoàng Mai, Hà Nội",32,730,1,1,,,,,,3808701
Chính chủ bán chung cư mini trần khát chân- bà triệu 895tr-1.3ty/căn 1-2pn,"Quận Hai Bà Trưng, Hà Nội",31,895,1,1,,,,,,3816146
Bán gấp chung cư đại cổ việt- vân hồ trần khát chân hơn 800tr/căn 1-2pn,"Quận Hai Bà Trưng, Hà Nội",61,1460.0,2,1,,,,,,3827937
"Bán gấp chung cư lò đúc nguyễn khoái 900-1,2ty/căn 1-2pn","Quận Hai Bà Trưng, Hà Nội",47,1200.0,2,1,5,,,,,3827972
Cực hot bán chung cư nguyễn công trứ- trần khát chân 800-1ty/căn,"Quận Hai Bà Trưng, Hà Nội",52,1450.0,2,1,,,,,,3827989
Chung cư mini doãn kế thiện- phạm văn đồng giá chỉ từ 590 tr,"Doãn Kế Thiện, Quận Cầu Giấy, Hà Nội",46,980,,,,,,,,3103523
"Bán chung cư kim mã núi trúc 890-1,36 tỷ/căn ở ngay thoáng","Quận Ba Đình, Hà Nội",52,1360.0,2,1,,,,,,3505126
"Chủ đầu tư mở bán chung cư mini chùa bộc, full nội thất giá hơn 800 triệu ở ngay","Quận Đống Đa, Hà Nội",46,1100.0,2,1,,,,,,3710475
Bán chung cư nguyễn khang cầu giấy 700tr/ căn ở ngay,"Cầu Giấy, Quận Cầu Giấy, Hà Nội",32,700,1,1,,,,,,3227561
"Bán chung cư tôn đức thắng 800-1,2 tỷ/ căn 33-60m","Cát Linh, Quận Đống Đa, Hà Nội",33.5,850,,,,,,,,3232208
Bán chung cư chùa bộc- tây sơn hơn 700tr/ căn ở ngay,"Tây Sơn, Quận Đống Đa, Hà Nội",37,790,,,,,,,,3232823
Bán chung cu xuân thủy cầu giấy 780tr/căn 1-2pn (35-48m),"Quận Cầu Giấy, Hà Nội",43,780,2,1,,,,,,3554710
Trực tiếp cdt mở bán cc tôn đức thắng- quốc tử giám 820tr- 33.5m,"Quận Đống Đa, Hà Nội",33.5,820,1,1,,,,,,3717701
Chính chủ bán chung cư kim mã- giang văn minh 890-1 tỷ/căn,"Kim Mã, Quận Ba Đình, Hà Nội",42,890,1,1,,,,,,3505058
Mở bán chung cư kim mã ở ngay 840tr/căn 40-52m thoáng mát,"Quận Ba Đình, Hà Nội",42,840,1,1,,,,,,3505096
Chung cư phố vọng- đại la 980tr/căn 2 pn ở ngay full đồ,"Đại La, Quận Hai Bà Trưng, Hà Nội",46,980,,,,,,,,3502126
Bán chung cư kim mã-vincom liễu giai 890tr/căn 40m ở ngay,"Kim Mã, Quận Ba Đình, Hà Nội",65,890,2,1,,,,,,3503418
Chính chủ bán chung cư kim mã- giang văn minh 890-1 tỷ/căn,"Kim Mã, Quận Ba Đình, Hà Nội",42,890,1,1,,,,,,3505058
