,title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
67,"Chính chủ mở bán ccmn quan hoa hơn 600tr/căn 30-50m2 oto đỗ 30m,đủ nội thất","Quận Cầu Giấy, Hà Nội",30,0.6,1,1,,,,,,3795970
68,"Chung cư cao cấp tôn đức thắng 35-60m2 đủ nội thất, ck khủng","Quận Đống Đa, Hà Nội",35,0.55,,,,,,,,3172005
69,Bán nhanh căn hộ 90m2-2 ngủ tại khu đô thị văn khê- hà đông-hà nội,"KĐT Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội",90,2,2,2,1,,,,,3950072
70,Bán căn góc 2 phòng ngủ tầng 7 ct7b vĩnh điềm trung,"Thành Phố Nha Trang, Khánh Hòa",80,1.6,2,1,,,,,,3844033
71,"Căn hộ hc golden city, long biên: 148m2, 4 phòng ngủ, chỉ 6,5 tỷ (giá chưa triết","HC Golden City, Phường Bồ Đề, Quận Long Biên, Hà Nội",148,6,4,3,,,,,,3950065
72,Căn hộ cao cấp view biển the ruby hạ long,"Phường Cao Xanh, Phường Cao Xanh, Thành Phố Hạ Long, Quảng Ninh",70,2,2,2,35,,,,2,3946430
73,Căn hộ cáo cấp view hướng biển vị trí đẹp chính sách hấp dẫn,"The Ruby Hạ Long, Phường Cao Xanh, Thành Phố Hạ Long, Quảng Ninh",70,2,2,2,35,,,,2,3946438
74,Bán căn hộ chung cư view biển sở hữu lâu dài,"Phường Cao Xanh, Phường Cao Xanh, Thành Phố Hạ Long, Quảng Ninh",70,2,2,2,35,,,,2,3949694
75,Bán căn hộ hướng biển 3 trong 1 the ruby hạ long,"Phường Cao Xanh, Phường Cao Xanh, Thành Phố Hạ Long, Quảng Ninh",70,2,2,2,35,,,,2,3947763
76,Bán căn hộ chung cư tôn thất tùng - view hồ - ô tô đỗ cửa.,"Quận Đống Đa, Hà Nội",50,0.9,2,1,,,5,,,3856243
77,Bán chung cư ngõ 189 hoàng hoa thám - mới - ở ngay - có sổ hồng.,"Quận Ba Đình, Hà Nội",35,0.78,1,1,5,,3,,,3918271
78,Bán chung cư nguyễn trãi - thanh xuân - 1 đến 3 ngủ.,"Quận Thanh Xuân, Hà Nội",33,0.72,1,1,,,,,,3925310
79,"Bán chung cư phương mai - gải phóng - sổ hồng, ở ngay.","Quận Đống Đa, Hà Nội",45,0.68,1,1,,,,,,3938394
80,Bán chung cư trích sài - view hồ tây - cách hồ tấy 50m.,"Quận Tây Hồ, Hà Nội",35,0.8,1,1,,,,,,3920912
81,Bán chung cư hoàng hoa thám - ngõ ô tô - sỗ hồng vĩnh viễn.,"Quận Bắc Từ Liêm, Hà Nội",35,0.68,1,1,,,,,,3923982
82,Bán căn hộ chung cư đống đa - ô tô đỗ cửa - mới,"Quận Đống Đa, Hà Nội",30,0.6,1,1,,,,,,3858482
83,Bán chung cư tam khương - tôn thất tùng - view hồ - ở ngay.,"Quận Đống Đa, Hà Nội",35,0.56,,,,Đông nam,3,,,3852510
84,Bán căn hộ chung cư tôn thất tùng - view hồ - ô tô đỗ cửa.,"Quận Đống Đa, Hà Nội",50,0.9,2,1,,,5,,,3856243
85,"Bán chung cư phương mai - gải phóng - sổ hồng, ở ngay.","Quận Đống Đa, Hà Nội",45,0.68,1,1,,,,,,3938394
86,"Bán chung cư hoàng hoa thám , văn cao, đội cấn , full nội thất, ở ngay.","Quận Ba Đình, Hà Nội",50,0.86,2,1,,,,,,3871134
87,Bán căn hộ chung cư văn tiến dũng - cầu diễn - mới,"Quận Bắc Từ Liêm, Hà Nội",35,0.79,1,1,,,,,,3856222
88,"Bán căn hộ chung cư - ở, đầu tư cho thuê, thanh khoản tốt.","Quận Đống Đa, Hà Nội",30,0.68,1,1,,,5,,,3855734
89,Bán căn hộ chung cư xã đàn - khâm thiên - tôn đức thắng.,"Quận Đống Đa, Hà Nội",50,0.86,2,1,,,,,,3858674
90,Bán chung cư mini trích sài - sổ hồng vĩnh viễn - viesw hồ tây.,"Quận Ba Đình, Hà Nội",55,1,2,1,,,,,,3920925
91,"Bán chung cư t23 quan nhân - vũ trọng phụng - thiết kê hiện đại, thông thoáng.","Quận Thanh Xuân, Hà Nội",33,0.6,1,1,5,,3,,,3931148
92,Bán chung cư mini cầu diễn - văn tiến dũng - 42m2 - 660tr,"Quận Bắc Từ Liêm, Hà Nội",42,0.66,1,1,,,,,,3854730
93,Bán chung cư cầu diễn - văn tiến dũng - đh công nghiệp hà nội,"Quận Bắc Từ Liêm, Hà Nội",28,0.5,1,1,,,,,,3855259
94,Tôi cần bán căn hộ 2 ngủ-82m2 tại chung cư hòa phát 257 giải phóng-hà nội,"Giải Phóng, Phường Phương Mai, Quận Đống Đa, Hà Nội",82,3,2,2,1,,,,,3947380
95,Bán căn hộ 92m2 tại chung cư cao cấp artemis-lê trọng tấn-thanh xuân-hn,"Căn hộ Artemis Số 3 Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",92,4.2,2,2,1,,,,,3947384
96,Bán gấp căn hộ 3 ngủ tại chung cư ct8-the emerald mỹ đình-hà nội,"The Emerald Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",103,4.3,3,2,1,,,,,3947392
